,index,X,Y,Spatial Step,Event,Time Start,Time Span,Accuracy,Motor_Status
321,1,1,2,3,SR,-0.3,0.1,0.3870967741935484,0.0
322,2,1,3,3,SR,-0.3,0.1,0.5483870967741935,0.0
323,3,1,4,3,SR,-0.3,0.1,0.7096774193548387,0.0
324,4,1,5,3,SR,-0.3,0.1,0.6451612903225806,1.0
325,5,1,6,3,SR,-0.3,0.1,0.6774193548387096,1.0
326,6,1,7,3,SR,-0.3,0.1,0.4838709677419355,1.0
327,7,1,8,3,SR,-0.3,0.1,0.3870967741935484,1.0
328,8,2,1,3,SR,-0.3,0.1,0.7741935483870968,0.0
329,9,2,2,3,SR,-0.3,0.1,0.4193548387096774,0.0
330,10,2,3,3,SR,-0.3,0.1,0.5161290322580645,0.0
331,11,2,4,3,SR,-0.3,0.1,0.5806451612903226,0.0
332,12,2,5,3,SR,-0.3,0.1,0.5161290322580645,1.0
333,13,2,6,3,SR,-0.3,0.1,0.5161290322580645,1.0
334,14,2,7,3,SR,-0.3,0.1,0.4193548387096774,1.0
335,15,2,8,3,SR,-0.3,0.1,0.6129032258064516,1.0
336,16,3,1,3,SR,-0.3,0.1,0.6774193548387096,0.0
337,17,3,2,3,SR,-0.3,0.1,0.5483870967741935,0.0
338,18,3,3,3,SR,-0.3,0.1,0.5161290322580645,0.0
339,19,3,4,3,SR,-0.3,0.1,0.3225806451612903,1.0
340,20,3,5,3,SR,-0.3,0.1,0.3870967741935484,1.0
341,21,3,6,3,SR,-0.3,0.1,0.4193548387096774,1.0
342,22,3,7,3,SR,-0.3,0.1,0.4516129032258064,1.0
343,23,3,8,3,SR,-0.3,0.1,0.6451612903225806,1.0
344,24,4,1,3,SR,-0.3,0.1,0.8064516129032258,0.0
345,25,4,2,3,SR,-0.3,0.1,0.4838709677419355,0.0
346,26,4,3,3,SR,-0.3,0.1,0.5483870967741935,0.0
347,27,4,4,3,SR,-0.3,0.1,0.5161290322580645,1.0
348,28,4,5,3,SR,-0.3,0.1,0.4193548387096774,1.0
349,29,4,6,3,SR,-0.3,0.1,0.3870967741935484,1.0
350,30,4,7,3,SR,-0.3,0.1,0.5161290322580645,1.0
351,31,4,8,3,SR,-0.3,0.1,0.5806451612903226,1.0
352,32,5,1,3,SR,-0.3,0.1,0.5806451612903226,0.0
353,33,5,2,3,SR,-0.3,0.1,0.4838709677419355,0.0
354,34,5,3,3,SR,-0.3,0.1,0.5161290322580645,1.0
355,35,5,4,3,SR,-0.3,0.1,0.6129032258064516,1.0
